Area Name,Total/Rural/Urban,Availability of separate kitchen,Fire-wood,Crop residue,Cowdung cake,"Coal,Lignite,Charcoal",Kerosene,LPG/PNG,Electricity,Biogas,Any other,No cooking,Total number of households
STATE - TAMIL NADU,Rural,Total,6393141,76755,24536,12568,243246,2732932,4328,32634,4513,39246,9563899
STATE - TAMIL NADU,Rural,Cooking inside house:,3861097,56082,12977,6248,211995,2449299,3596,29101,3219,0,6633614
STATE - TAMIL NADU,Rural,Has Kitchen,2491156,39326,8784,4353,168790,2106872,3091,26343,2320,0,4851035
STATE - TAMIL NADU,Rural,Does not have kitchen,1369941,16756,4193,1895,43205,342427,505,2758,899,0,1782579
STATE - TAMIL NADU,Rural,Cooking outside house:,2532044,20673,11559,6320,31251,283633,732,3533,1294,0,2891039
STATE - TAMIL NADU,Rural,Has Kitchen,1195749,9741,9333,3763,15830,152709,416,2179,570,0,1390290
STATE - TAMIL NADU,Rural,Does not have kitchen,1336295,10932,2226,2557,15421,130924,316,1354,724,0,1500749
STATE - TAMIL NADU,Rural,No Cooking,0,0,0,0,0,0,0,0,0,39246,39246
STATE - TAMIL NADU,Urban,Total,1646998,35587,10016,5949,1024401,6131784,7595,22605,4583,39586,8929104
STATE - TAMIL NADU,Urban,Cooking inside house:,1283202,32719,7948,4741,990474,6048215,7380,21933,4103,0,8400715
STATE - TAMIL NADU,Urban,Has Kitchen,974088,26260,6484,3951,834787,5772407,7069,20390,3468,0,7648904
STATE - TAMIL NADU,Urban,Does not have kitchen,309114,6459,1464,790,155687,275808,311,1543,635,0,751811
STATE - TAMIL NADU,Urban,Cooking outside house:,363796,2868,2068,1208,33927,83569,215,672,480,0,488803
STATE - TAMIL NADU,Urban,Has Kitchen,182241,1968,1600,752,16814,52730,141,445,214,0,256905
STATE - TAMIL NADU,Urban,Does not have kitchen,181555,900,468,456,17113,30839,74,227,266,0,231898
STATE - TAMIL NADU,Urban,No Cooking,0,0,0,0,0,0,0,0,0,39586,39586
STATE - PUDUCHERRY,Total,Total,54206,820,263,135,31073,212517,265,179,45,1773,301276
STATE - PUDUCHERRY,Total,Cooking inside house:,34419,627,189,82,28795,204298,261,169,35,0,268875
STATE - PUDUCHERRY,Total,Has Kitchen,18720,475,133,47,19498,179657,242,130,21,0,218923
STATE - PUDUCHERRY,Total,Does not have kitchen,15699,152,56,35,9297,24641,19,39,14,0,49952
STATE - PUDUCHERRY,Total,Cooking outside house:,19787,193,74,53,2278,8219,4,10,10,0,30628
STATE - PUDUCHERRY,Total,Has Kitchen,8602,85,44,33,1151,4610,3,4,2,0,14534
STATE - PUDUCHERRY,Total,Does not have kitchen,11185,108,30,20,1127,3609,1,6,8,0,16094
STATE - PUDUCHERRY,Total,No Cooking,0,0,0,0,0,0,0,0,0,1773,1773
STATE - PUDUCHERRY,Rural,Total,34202,400,150,58,9319,50328,54,53,9,560,95133
STATE - PUDUCHERRY,Rural,Cooking inside house:,19188,255,97,23,8137,44481,53,50,8,0,72292
STATE - PUDUCHERRY,Rural,Has Kitchen,9576,162,55,13,5070,33849,47,36,4,0,48812
STATE - PUDUCHERRY,Rural,Does not have kitchen,9612,93,42,10,3067,10632,6,14,4,0,23480
STATE - PUDUCHERRY,Rural,Cooking outside house:,15014,145,53,35,1182,5847,1,3,1,0,22281
STATE - PUDUCHERRY,Rural,Has Kitchen,6596,60,32,28,571,3189,1,2,0,0,10479
STATE - PUDUCHERRY,Rural,Does not have kitchen,8418,85,21,7,611,2658,0,1,1,0,11802
STATE - PUDUCHERRY,Rural,No Cooking,0,0,0,0,0,0,0,0,0,560,560
STATE - PUDUCHERRY,Urban,Total,20004,420,113,77,21754,162189,211,126,36,1213,206143
STATE - PUDUCHERRY,Urban,Cooking inside house:,15231,372,92,59,20658,159817,208,119,27,0,196583
STATE - PUDUCHERRY,Urban,Has Kitchen,9144,313,78,34,14428,145808,195,94,17,0,170111
STATE - PUDUCHERRY,Urban,Does not have kitchen,6087,59,14,25,6230,14009,13,25,10,0,26472
STATE - PUDUCHERRY,Urban,Cooking outside house:,4773,48,21,18,1096,2372,3,7,9,0,8347
STATE - PUDUCHERRY,Urban,Has Kitchen,2006,25,12,5,580,1421,2,2,2,0,4055
STATE - PUDUCHERRY,Urban,Does not have kitchen,2767,23,9,13,516,951,1,5,7,0,4292
STATE - PUDUCHERRY,Urban,No Cooking,0,0,0,0,0,0,0,0,0,1213,1213
STATE - ANDAMAN & NICOBAR ISLANDS,Total,Total,31578,379,36,12,18445,41539,39,35,49,1264,93376
STATE - ANDAMAN & NICOBAR ISLANDS,Total,Cooking inside house:,22216,298,22,11,17857,40690,37,31,28,0,81190
STATE - ANDAMAN & NICOBAR ISLANDS,Total,Has Kitchen,20849,282,18,11,16611,40091,35,30,24,0,77951
STATE - ANDAMAN & NICOBAR ISLANDS,Total,Does not have kitchen,1367,16,4,0,1246,599,2,1,4,0,3239
STATE - ANDAMAN & NICOBAR ISLANDS,Total,Cooking outside house:,9362,81,14,1,588,849,2,4,21,0,10922
STATE - ANDAMAN & NICOBAR ISLANDS,Total,Has Kitchen,8735,65,14,1,406,655,1,3,18,0,9898
STATE - ANDAMAN & NICOBAR ISLANDS,Total,Does not have kitchen,627,16,0,0,182,194,1,1,3,0,1024
STATE - ANDAMAN & NICOBAR ISLANDS,Total,No Cooking,0,0,0,0,0,0,0,0,0,1264,1264
STATE - ANDAMAN & NICOBAR ISLANDS,Rural,Total,30079,323,32,5,9232,18578,24,21,32,704,59030
STATE - ANDAMAN & NICOBAR ISLANDS,Rural,Cooking inside house:,20934,245,18,4,8802,17771,22,17,13,0,47826
STATE - ANDAMAN & NICOBAR ISLANDS,Rural,Has Kitchen,19730,231,15,4,8224,17502,22,16,12,0,45756
STATE - ANDAMAN & NICOBAR ISLANDS,Rural,Does not have kitchen,1204,14,3,0,578,269,0,1,1,0,2070
STATE - ANDAMAN & NICOBAR ISLANDS,Rural,Cooking outside house:,9145,78,14,1,430,807,2,4,19,0,10500
STATE - ANDAMAN & NICOBAR ISLANDS,Rural,Has Kitchen,8585,65,14,1,295,625,1,3,16,0,9605
STATE - ANDAMAN & NICOBAR ISLANDS,Rural,Does not have kitchen,560,13,0,0,135,182,1,1,3,0,895
STATE - ANDAMAN & NICOBAR ISLANDS,Rural,No Cooking,0,0,0,0,0,0,0,0,0,704,704
STATE - ANDAMAN & NICOBAR ISLANDS,Urban,Total,1499,56,4,7,9213,22961,15,14,17,560,34346
STATE - ANDAMAN & NICOBAR ISLANDS,Urban,Cooking inside house:,1282,53,4,7,9055,22919,15,14,15,0,33364
STATE - ANDAMAN & NICOBAR ISLANDS,Urban,Has Kitchen,1119,51,3,7,8387,22589,13,14,12,0,32195
STATE - ANDAMAN & NICOBAR ISLANDS,Urban,Does not have kitchen,163,2,1,0,668,330,2,0,3,0,1169
STATE - ANDAMAN & NICOBAR ISLANDS,Urban,Cooking outside house:,217,3,0,0,158,42,0,0,2,0,422
STATE - ANDAMAN & NICOBAR ISLANDS,Urban,Has Kitchen,150,0,0,0,111,30,0,0,2,0,293
STATE - ANDAMAN & NICOBAR ISLANDS,Urban,Does not have kitchen,67,3,0,0,47,12,0,0,0,0,129
STATE - ANDAMAN & NICOBAR ISLANDS,Urban,No Cooking,0,0,0,0,0,0,0,0,0,560,560
