Area Name,Total/Rural/Urban,Availability of separate kitchen,Fire-wood,Crop residue,Cowdung cake,"Coal,Lignite,Charcoal",Kerosene,LPG/PNG,Electricity,Biogas,Any other,No cooking,Total number of households
STATE - LAKSHADWEEP,Total,Does not have kitchen,51,52,0,0,19,0,0,1,0,0,123
STATE - LAKSHADWEEP,Total,No Cooking,0,0,0,0,0,0,0,0,0,268,268
STATE - LAKSHADWEEP,Rural,Total,921,1124,3,2,307,72,42,3,0,49,2523
STATE - LAKSHADWEEP,Rural,Cooking inside house:,745,387,2,2,277,69,42,2,0,0,1526
STATE - LAKSHADWEEP,Rural,Has Kitchen,734,363,2,2,271,68,42,2,0,0,1484
STATE - LAKSHADWEEP,Rural,Does not have kitchen,11,24,0,0,6,1,0,0,0,0,42
STATE - LAKSHADWEEP,Rural,Cooking outside house:,176,737,1,0,30,3,0,1,0,0,948
STATE - LAKSHADWEEP,Rural,Has Kitchen,165,685,1,0,26,3,0,1,0,0,881
STATE - LAKSHADWEEP,Rural,Does not have kitchen,11,52,0,0,4,0,0,0,0,0,67
STATE - LAKSHADWEEP,Rural,No Cooking,0,0,0,0,0,0,0,0,0,49,49
STATE - LAKSHADWEEP,Urban,Total,4946,25,10,4,1163,1707,89,15,2,219,8180
STATE - LAKSHADWEEP,Urban,Cooking inside house:,3212,25,9,4,1019,1434,81,13,2,0,5799
STATE - LAKSHADWEEP,Urban,Has Kitchen,3182,24,9,4,1007,1432,81,13,2,0,5754
STATE - LAKSHADWEEP,Urban,Does not have kitchen,30,1,0,0,12,2,0,0,0,0,45
STATE - LAKSHADWEEP,Urban,Cooking outside house:,1734,0,1,0,144,273,8,2,0,0,2162
STATE - LAKSHADWEEP,Urban,Has Kitchen,1694,0,1,0,129,273,8,1,0,0,2106
STATE - LAKSHADWEEP,Urban,Does not have kitchen,40,0,0,0,15,0,0,1,0,0,56
STATE - LAKSHADWEEP,Urban,No Cooking,0,0,0,0,0,0,0,0,0,219,219
STATE - KERALA,Total,Total,4777867,61816,4611,4043,27346,2765913,3315,48235,2723,20501,7716370
STATE - KERALA,Total,Cooking inside house:,4552526,56240,3906,3638,25956,2726237,3206,47334,2557,0,7421600
STATE - KERALA,Total,Has Kitchen,4455206,52867,3480,3445,23162,2712910,3145,47101,2387,0,7303703
STATE - KERALA,Total,Does not have kitchen,97320,3373,426,193,2794,13327,61,233,170,0,117897
STATE - KERALA,Total,Cooking outside house:,225341,5576,705,405,1390,39676,109,901,166,0,274269
STATE - KERALA,Total,Has Kitchen,132926,2066,581,263,557,22720,54,440,65,0,159672
STATE - KERALA,Total,Does not have kitchen,92415,3510,124,142,833,16956,55,461,101,0,114597
STATE - KERALA,Total,No Cooking,0,0,0,0,0,0,0,0,0,20501,20501
STATE - KERALA,Rural,Total,2990953,37732,2751,2143,8486,1013198,1547,27320,1204,10340,4095674
STATE - KERALA,Rural,Cooking inside house:,2831484,32974,2243,1876,7803,988214,1466,26620,1107,0,3893787
STATE - KERALA,Rural,Has Kitchen,2760113,30718,1956,1748,6715,981847,1434,26476,1015,0,3812022
STATE - KERALA,Rural,Does not have kitchen,71371,2256,287,128,1088,6367,32,144,92,0,81765
STATE - KERALA,Rural,Cooking outside house:,159469,4758,508,267,683,24984,81,700,97,0,191547
STATE - KERALA,Rural,Has Kitchen,86831,1486,417,168,239,10519,37,279,39,0,100015
STATE - KERALA,Rural,Does not have kitchen,72638,3272,91,99,444,14465,44,421,58,0,91532
STATE - KERALA,Rural,No Cooking,0,0,0,0,0,0,0,0,0,10340,10340
STATE - KERALA,Urban,Total,1786914,24084,1860,1900,18860,1752715,1768,20915,1519,10161,3620696
STATE - KERALA,Urban,Cooking inside house:,1721042,23266,1663,1762,18153,1738023,1740,20714,1450,0,3527813
STATE - KERALA,Urban,Has Kitchen,1695093,22149,1524,1697,16447,1731063,1711,20625,1372,0,3491681
STATE - KERALA,Urban,Does not have kitchen,25949,1117,139,65,1706,6960,29,89,78,0,36132
STATE - KERALA,Urban,Cooking outside house:,65872,818,197,138,707,14692,28,201,69,0,82722
STATE - KERALA,Urban,Has Kitchen,46095,580,164,95,318,12201,17,161,26,0,59657
STATE - KERALA,Urban,Does not have kitchen,19777,238,33,43,389,2491,11,40,43,0,23065
STATE - KERALA,Urban,No Cooking,0,0,0,0,0,0,0,0,0,10161,10161
STATE - TAMIL NADU,Total,Total,8040139,112342,34552,18517,1267647,8864716,11923,55239,9096,78832,18493003
STATE - TAMIL NADU,Total,Cooking inside house:,5144299,88801,20925,10989,1202469,8497514,10976,51034,7322,0,15034329
STATE - TAMIL NADU,Total,Has Kitchen,3465244,65586,15268,8304,1003577,7879279,10160,46733,5788,0,12499939
STATE - TAMIL NADU,Total,Does not have kitchen,1679055,23215,5657,2685,198892,618235,816,4301,1534,0,2534390
STATE - TAMIL NADU,Total,Cooking outside house:,2895840,23541,13627,7528,65178,367202,947,4205,1774,0,3379842
STATE - TAMIL NADU,Total,Has Kitchen,1377990,11709,10933,4515,32644,205439,557,2624,784,0,1647195
STATE - TAMIL NADU,Total,Does not have kitchen,1517850,11832,2694,3013,32534,161763,390,1581,990,0,1732647
STATE - TAMIL NADU,Total,No Cooking,0,0,0,0,0,0,0,0,0,78832,78832
