Area Name,Availability of separate kitchen ,Fire-wood,Crop residue,Cowdung cake,"Coal,Lignite,Charcoal",Kerosene,LPG/PNG,Electricity,Biogas,Any other,No cooking,Total number of households,,,,,
Koraon (NP),Cooking inside house:,113,4,59,0,0,107,0,1,0,0,284,,,,,
Koraon (NP),Has Kitchen,13,1,3,0,0,80,0,1,0,0,98,,,,,
Koraon (NP),Does not have kitchen,100,3,56,0,0,27,0,0,0,0,186,,,,,
Koraon (NP),Cooking outside house:,5,0,0,0,0,1,0,0,0,0,6,,,,,
Koraon (NP),Has Kitchen,0,0,0,0,0,0,0,0,0,0,0,,,,,
Koraon (NP),Does not have kitchen,5,0,0,0,0,1,0,0,0,0,6,,,,,
Koraon (NP),No Cooking,0,0,0,0,0,0,0,0,0,7,7,,,,,
Ramnagar (NP),Total,210,5,0,0,0,103,0,0,0,1,319,,,,,
Ramnagar (NP),Cooking inside house:,200,4,0,0,0,102,0,0,0,0,306,,,,,
Ramnagar (NP),Has Kitchen,4,2,0,0,0,67,0,0,0,0,73,,,,,
Ramnagar (NP),Does not have kitchen,196,2,0,0,0,35,0,0,0,0,233,,,,,
Ramnagar (NP),Cooking outside house:,10,1,0,0,0,1,0,0,0,0,12,,,,,
Ramnagar (NP),Has Kitchen,2,1,0,0,0,1,0,0,0,0,4,,,,,
Ramnagar (NP),Does not have kitchen,8,0,0,0,0,0,0,0,0,0,8,,,,,
Ramnagar (NP),No Cooking,0,0,0,0,0,0,0,0,0,1,1,,,,,
Nawabganj (NPP + OG),Total,333,21,2,20,36,683,1,7,0,10,1113,,,,,
Nawabganj (NPP + OG),Cooking inside house:,323,18,2,19,36,678,1,7,0,0,1084,,,,,
Nawabganj (NPP + OG),Has Kitchen,41,6,2,15,8,457,1,5,0,0,535,,,,,
Nawabganj (NPP + OG),Does not have kitchen,282,12,0,4,28,221,0,2,0,0,549,,,,,
Nawabganj (NPP + OG),Cooking outside house:,10,3,0,1,0,5,0,0,0,0,19,,,,,
Nawabganj (NPP + OG),Has Kitchen,7,2,0,1,0,2,0,0,0,0,12,,,,,
Nawabganj (NPP + OG),Does not have kitchen,3,1,0,0,0,3,0,0,0,0,7,,,,,
Nawabganj (NPP + OG),No Cooking,0,0,0,0,0,0,0,0,0,10,10,,,,,
Siddhaur (NP),Total,1668,81,5,0,6,232,1,1,0,5,1999,,,,,
Siddhaur (NP),Cooking inside house:,1618,77,5,0,6,232,1,1,0,0,1940,,,,,
Siddhaur (NP),Has Kitchen,613,35,1,0,4,154,0,0,0,0,807,,,,,
Siddhaur (NP),Does not have kitchen,1005,42,4,0,2,78,1,1,0,0,1133,,,,,
Siddhaur (NP),Cooking outside house:,50,4,0,0,0,0,0,0,0,0,54,,,,,
Siddhaur (NP),Has Kitchen,7,4,0,0,0,0,0,0,0,0,11,,,,,
Siddhaur (NP),Does not have kitchen,43,0,0,0,0,0,0,0,0,0,43,,,,,
Siddhaur (NP),No Cooking,0,0,0,0,0,0,0,0,0,5,5,,,,,
Rudauli (NPP),Total,1122,57,5,1,8,490,2,0,0,6,1691,,,,,
Rudauli (NPP),Cooking inside house:,1109,51,5,1,8,489,2,0,0,0,1665,,,,,
Rudauli (NPP),Has Kitchen,700,26,4,1,5,433,2,0,0,0,1171,,,,,
Rudauli (NPP),Does not have kitchen,409,25,1,0,3,56,0,0,0,0,494,,,,,
Rudauli (NPP),Cooking outside house:,13,6,0,0,0,1,0,0,0,0,20,,,,,
Rudauli (NPP),Has Kitchen,11,6,0,0,0,0,0,0,0,0,17,,,,,
Rudauli (NPP),Does not have kitchen,2,0,0,0,0,1,0,0,0,0,3,,,,,
Rudauli (NPP),No Cooking,0,0,0,0,0,0,0,0,0,6,6,,,,,
Bhadarsa (NP),Total,278,5,0,0,2,57,0,0,0,0,342,,,,,
Bhadarsa (NP),Cooking inside house:,262,5,0,0,1,52,0,0,0,0,320,,,,,
Bhadarsa (NP),Has Kitchen,123,1,0,0,0,39,0,0,0,0,163,,,,,
Bhadarsa (NP),Does not have kitchen,139,4,0,0,1,13,0,0,0,0,157,,,,,
Bhadarsa (NP),Cooking outside house:,16,0,0,0,1,5,0,0,0,0,22,,,,,
Bhadarsa (NP),Has Kitchen,14,0,0,0,1,5,0,0,0,0,20,,,,,
Bhadarsa (NP),Does not have kitchen,2,0,0,0,0,0,0,0,0,0,2,,,,,
Bhadarsa (NP),No Cooking,0,0,0,0,0,0,0,0,0,0,0,,,,,
Faizabad (NPP),Total,1286,94,9,5,143,1647,1,2,1,13,3201,,,,,
Faizabad (NPP),Cooking inside house:,1219,79,7,1,131,1623,1,2,1,0,3064,,,,,
Faizabad (NPP),Has Kitchen,445,48,2,0,76,1415,1,2,0,0,1989,,,,,
Faizabad (NPP),Does not have kitchen,774,31,5,1,55,208,0,0,1,0,1075,,,,,
Faizabad (NPP),Cooking outside house:,67,15,2,4,12,24,0,0,0,0,124,,,,,
Faizabad (NPP),Has Kitchen,18,15,0,3,9,19,0,0,0,0,64,,,,,
Faizabad (NPP),Does not have kitchen,49,0,2,1,3,5,0,0,0,0,60,,,,,
Faizabad (NPP),No Cooking,0,0,0,0,0,0,0,0,0,13,13,,,,,
Ayodhya (NPP),Total,222,7,0,0,5,67,0,0,1,0,302,,,,,
Ayodhya (NPP),Cooking inside house:,221,6,0,0,5,67,0,0,1,0,300,,,,,
Ayodhya (NPP),Has Kitchen,107,1,0,0,0,33,0,0,0,0,141,,,,,
Ayodhya (NPP),Does not have kitchen,114,5,0,0,5,34,0,0,1,0,159,,,,,
Ayodhya (NPP),Cooking outside house:,1,1,0,0,0,0,0,0,0,0,2,,,,,
Ayodhya (NPP),Has Kitchen,1,1,0,0,0,0,0,0,0,0,2,,,,,
