Area Name,Total/Rural/Urban,Availability of separate kitchen ,Fire-wood,Crop residue,Cowdung cake,"Coal,Lignite,Charcoal",Kerosene,LPG/PNG,Electricity,Biogas,Any other,No cooking,Total
Cart Road (CT),Urban,Cooking outside house:,412,4,2,88,14,324,0,0,38,0,882
Cart Road (CT),Urban,Has Kitchen,377,4,2,87,14,316,0,0,37,0,837
Cart Road (CT),Urban,Does not have kitchen,35,0,0,1,0,8,0,0,1,0,45
Cart Road (CT),Urban,No Cooking,0,0,0,0,0,0,0,0,0,10,10
Sub-District - Matigara ,Total,Total,23931,1078,327,356,738,14474,167,120,199,80,41470
Sub-District - Matigara ,Total,Cooking inside house:,20264,951,253,345,709,14112,165,119,195,0,37113
Sub-District - Matigara ,Total,Has Kitchen,14680,714,188,249,435,13233,162,88,123,0,29872
Sub-District - Matigara ,Total,Does not have kitchen,5584,237,65,96,274,879,3,31,72,0,7241
Sub-District - Matigara ,Total,Cooking outside house:,3667,127,74,11,29,362,2,1,4,0,4277
Sub-District - Matigara ,Total,Has Kitchen,2983,86,64,10,8,188,1,1,3,0,3344
Sub-District - Matigara ,Total,Does not have kitchen,684,41,10,1,21,174,1,0,1,0,933
Sub-District - Matigara ,Total,No Cooking,0,0,0,0,0,0,0,0,0,80,80
Sub-District - Matigara ,Rural,Total,18398,783,259,111,485,6995,163,115,4,50,27363
Sub-District - Matigara ,Rural,Cooking inside house:,14945,698,186,104,462,6684,161,114,3,0,23357
Sub-District - Matigara ,Rural,Has Kitchen,10974,518,131,64,278,6151,160,84,3,0,18363
Sub-District - Matigara ,Rural,Does not have kitchen,3971,180,55,40,184,533,1,30,0,0,4994
Sub-District - Matigara ,Rural,Cooking outside house:,3453,85,73,7,23,311,2,1,1,0,3956
Sub-District - Matigara ,Rural,Has Kitchen,2823,46,63,6,4,145,1,1,1,0,3090
Sub-District - Matigara ,Rural,Does not have kitchen,630,39,10,1,19,166,1,0,0,0,866
Sub-District - Matigara ,Rural,No Cooking,0,0,0,0,0,0,0,0,0,50,50
Sub-District - Matigara ,Urban,Total,5533,295,68,245,253,7479,4,5,195,30,14107
Sub-District - Matigara ,Urban,Cooking inside house:,5319,253,67,241,247,7428,4,5,192,0,13756
Sub-District - Matigara ,Urban,Has Kitchen,3706,196,57,185,157,7082,2,4,120,0,11509
Sub-District - Matigara ,Urban,Does not have kitchen,1613,57,10,56,90,346,2,1,72,0,2247
Sub-District - Matigara ,Urban,Cooking outside house:,214,42,1,4,6,51,0,0,3,0,321
Sub-District - Matigara ,Urban,Has Kitchen,160,40,1,4,4,43,0,0,2,0,254
Sub-District - Matigara ,Urban,Does not have kitchen,54,2,0,0,2,8,0,0,1,0,67
Sub-District - Matigara ,Urban,No Cooking,0,0,0,0,0,0,0,0,0,30,30
Kalkut (CT),Urban,Total,838,17,25,199,17,880,0,0,0,3,1979
Kalkut (CT),Urban,Cooking inside house:,815,16,24,197,17,874,0,0,0,0,1943
Kalkut (CT),Urban,Has Kitchen,479,10,21,150,10,805,0,0,0,0,1475
Kalkut (CT),Urban,Does not have kitchen,336,6,3,47,7,69,0,0,0,0,468
Kalkut (CT),Urban,Cooking outside house:,23,1,1,2,0,6,0,0,0,0,33
Kalkut (CT),Urban,Has Kitchen,18,1,1,2,0,5,0,0,0,0,27
Kalkut (CT),Urban,Does not have kitchen,5,0,0,0,0,1,0,0,0,0,6
Kalkut (CT),Urban,No Cooking,0,0,0,0,0,0,0,0,0,3,3
Tari (CT),Urban,Total,2029,186,13,22,42,685,3,1,93,0,3074
Tari (CT),Urban,Cooking inside house:,1935,152,13,20,40,669,3,1,93,0,2926
Tari (CT),Urban,Has Kitchen,1552,121,12,14,25,611,2,1,82,0,2420
Tari (CT),Urban,Does not have kitchen,383,31,1,6,15,58,1,0,11,0,506
Tari (CT),Urban,Cooking outside house:,94,34,0,2,2,16,0,0,0,0,148
Tari (CT),Urban,Has Kitchen,80,34,0,2,1,14,0,0,0,0,131
Tari (CT),Urban,Does not have kitchen,14,0,0,0,1,2,0,0,0,0,17
Tari (CT),Urban,No Cooking,0,0,0,0,0,0,0,0,0,0,0
Bairatisal (CT),Urban,Total,173,10,3,1,29,1002,0,0,1,2,1221
Bairatisal (CT),Urban,Cooking inside house:,164,10,3,1,29,1001,0,0,1,0,1209
Bairatisal (CT),Urban,Has Kitchen,149,10,1,1,22,985,0,0,1,0,1169
Bairatisal (CT),Urban,Does not have kitchen,15,0,2,0,7,16,0,0,0,0,40
Bairatisal (CT),Urban,Cooking outside house:,9,0,0,0,0,1,0,0,0,0,10
Bairatisal (CT),Urban,Has Kitchen,4,0,0,0,0,0,0,0,0,0,4
Bairatisal (CT),Urban,Does not have kitchen,5,0,0,0,0,1,0,0,0,0,6
Bairatisal (CT),Urban,No Cooking,0,0,0,0,0,0,0,0,0,2,2
Jitu (CT),Urban,Total,408,11,3,0,23,961,0,1,1,6,1414
Jitu (CT),Urban,Cooking inside house:,403,8,3,0,23,960,0,1,1,0,1399
Jitu (CT),Urban,Has Kitchen,207,6,3,0,10,931,0,1,1,0,1159
Jitu (CT),Urban,Does not have kitchen,196,2,0,0,13,29,0,0,0,0,240
Jitu (CT),Urban,Cooking outside house:,5,3,0,0,0,1,0,0,0,0,9
Jitu (CT),Urban,Has Kitchen,2,3,0,0,0,0,0,0,0,0,5
Jitu (CT),Urban,Does not have kitchen,3,0,0,0,0,1,0,0,0,0,4
Jitu (CT),Urban,No Cooking,0,0,0,0,0,0,0,0,0,6,6
Mathapari (CT),Urban,Total,1419,36,17,9,83,1035,1,2,23,12,2637
Mathapari (CT),Urban,Cooking inside house:,1371,33,17,9,82,1029,1,2,22,0,2566
Mathapari (CT),Urban,Has Kitchen,872,18,14,7,49,908,0,1,11,0,1880
Mathapari (CT),Urban,Does not have kitchen,499,15,3,2,33,121,1,1,11,0,686
Mathapari (CT),Urban,Cooking outside house:,48,3,0,0,1,6,0,0,1,0,59
Mathapari (CT),Urban,Has Kitchen,32,2,0,0,0,5,0,0,1,0,40
Mathapari (CT),Urban,Does not have kitchen,16,1,0,0,1,1,0,0,0,0,19
Mathapari (CT),Urban,No Cooking,0,0,0,0,0,0,0,0,0,12,12
Bara Mohansingh (CT),Urban,Total,666,35,7,14,59,2916,0,1,77,7,3782
Bara Mohansingh (CT),Urban,Cooking inside house:,631,34,7,14,56,2895,0,1,75,0,3713
Bara Mohansingh (CT),Urban,Has Kitchen,447,31,6,13,41,2842,0,1,25,0,3406
Bara Mohansingh (CT),Urban,Does not have kitchen,184,3,1,1,15,53,0,0,50,0,307
Bara Mohansingh (CT),Urban,Cooking outside house:,35,1,0,0,3,21,0,0,2,0,62
Bara Mohansingh (CT),Urban,Has Kitchen,24,0,0,0,3,19,0,0,1,0,47
Bara Mohansingh (CT),Urban,Does not have kitchen,11,1,0,0,0,2,0,0,1,0,15
Bara Mohansingh (CT),Urban,No Cooking,0,0,0,0,0,0,0,0,0,7,7
Sub-District - Naxalbari,Total,Total,20730,831,960,62,353,10395,23,123,72,110,33659
Sub-District - Naxalbari,Total,Cooking inside house:,17087,733,711,58,336,10044,22,122,63,0,29176
Sub-District - Naxalbari,Total,Has Kitchen,13725,510,571,48,247,9396,18,114,47,0,24676
Sub-District - Naxalbari,Total,Does not have kitchen,3362,223,140,10,89,648,4,8,16,0,4500
Sub-District - Naxalbari,Total,Cooking outside house:,3643,98,249,4,17,351,1,1,9,0,4373
Sub-District - Naxalbari,Total,Has Kitchen,3085,72,222,2,9,247,1,1,5,0,3644
Sub-District - Naxalbari,Total,Does not have kitchen,558,26,27,2,8,104,0,0,4,0,729
Sub-District - Naxalbari,Total,No Cooking,0,0,0,0,0,0,0,0,0,110,110
Sub-District - Naxalbari,Rural,Total,15560,496,703,25,79,3223,10,37,14,66,20213
Sub-District - Naxalbari,Rural,Cooking inside house:,12351,446,475,21,71,2985,9,36,11,0,16405
Sub-District - Naxalbari,Rural,Has Kitchen,10258,320,401,19,47,2810,9,32,10,0,13906
Sub-District - Naxalbari,Rural,Does not have kitchen,2093,126,74,2,24,175,0,4,1,0,2499
Sub-District - Naxalbari,Rural,Cooking outside house:,3209,50,228,4,8,238,1,1,3,0,3742
Sub-District - Naxalbari,Rural,Has Kitchen,2733,26,204,2,5,159,1,1,3,0,3134
Sub-District - Naxalbari,Rural,Does not have kitchen,476,24,24,2,3,79,0,0,0,0,608
Sub-District - Naxalbari,Rural,No Cooking,0,0,0,0,0,0,0,0,0,66,66
Sub-District - Naxalbari,Urban,Total,5170,335,257,37,274,7172,13,86,58,44,13446
Sub-District - Naxalbari,Urban,Cooking inside house:,4736,287,236,37,265,7059,13,86,52,0,12771
Sub-District - Naxalbari,Urban,Has Kitchen,3467,190,170,29,200,6586,9,82,37,0,10770
Sub-District - Naxalbari,Urban,Does not have kitchen,1269,97,66,8,65,473,4,4,15,0,2001
Sub-District - Naxalbari,Urban,Cooking outside house:,434,48,21,0,9,113,0,0,6,0,631
Sub-District - Naxalbari,Urban,Has Kitchen,352,46,18,0,4,88,0,0,2,0,510
Sub-District - Naxalbari,Urban,Does not have kitchen,82,2,3,0,5,25,0,0,4,0,121
Sub-District - Naxalbari,Urban,No Cooking,0,0,0,0,0,0,0,0,0,44,44
Dumriguri (CT),Urban,Total,929,27,59,12,89,1872,4,5,2,13,3012
Dumriguri (CT),Urban,Cooking inside house:,884,24,56,12,85,1838,4,5,1,0,2909
Dumriguri (CT),Urban,Has Kitchen,513,16,30,11,68,1725,0,5,1,0,2369
Dumriguri (CT),Urban,Does not have kitchen,371,8,26,1,17,113,4,0,0,0,540
Dumriguri (CT),Urban,Cooking outside house:,45,3,3,0,4,34,0,0,1,0,90
Dumriguri (CT),Urban,Has Kitchen,27,2,2,0,3,26,0,0,0,0,60
Dumriguri (CT),Urban,Does not have kitchen,18,1,1,0,1,8,0,0,1,0,30
Dumriguri (CT),Urban,No Cooking,0,0,0,0,0,0,0,0,0,13,13
Uttar Bagdogra (CT),Urban,Total,805,66,21,15,130,2783,1,72,0,14,3907
Uttar Bagdogra (CT),Urban,Cooking inside house:,717,66,16,15,125,2741,1,72,0,0,3753
Uttar Bagdogra (CT),Urban,Has Kitchen,434,45,11,10,93,2600,1,69,0,0,3263
Uttar Bagdogra (CT),Urban,Does not have kitchen,283,21,5,5,32,141,0,3,0,0,490
Uttar Bagdogra (CT),Urban,Cooking outside house:,88,0,5,0,5,42,0,0,0,0,140
Uttar Bagdogra (CT),Urban,Has Kitchen,56,0,5,0,1,31,0,0,0,0,93
Uttar Bagdogra (CT),Urban,Does not have kitchen,32,0,0,0,4,11,0,0,0,0,47
Uttar Bagdogra (CT),Urban,No Cooking,0,0,0,0,0,0,0,0,0,14,14
Geni (CT),Urban,Total,1047,36,23,5,21,907,5,2,2,6,2054
Geni (CT),Urban,Cooking inside house:,1042,35,22,5,21,905,5,2,2,0,2039
Geni (CT),Urban,Has Kitchen,820,27,21,4,14,854,5,1,0,0,1746
Geni (CT),Urban,Does not have kitchen,222,8,1,1,7,51,0,1,2,0,293
Geni (CT),Urban,Cooking outside house:,5,1,1,0,0,2,0,0,0,0,9
Geni (CT),Urban,Has Kitchen,3,1,0,0,0,0,0,0,0,0,4
Geni (CT),Urban,Does not have kitchen,2,0,1,0,0,2,0,0,0,0,5
Geni (CT),Urban,No Cooking,0,0,0,0,0,0,0,0,0,6,6
Bhimram (CT),Urban,Total,1316,174,55,4,15,834,2,7,53,9,2469
Bhimram (CT),Urban,Cooking inside house:,1080,130,44,4,15,810,2,7,48,0,2140
Bhimram (CT),Urban,Has Kitchen,867,76,35,4,11,742,2,7,36,0,1780
Bhimram (CT),Urban,Does not have kitchen,213,54,9,0,4,68,0,0,12,0,360
Bhimram (CT),Urban,Cooking outside house:,236,44,11,0,0,24,0,0,5,0,320
Bhimram (CT),Urban,Has Kitchen,220,43,10,0,0,22,0,0,2,0,297
Bhimram (CT),Urban,Does not have kitchen,16,1,1,0,0,2,0,0,3,0,23
Bhimram (CT),Urban,No Cooking,0,0,0,0,0,0,0,0,0,9,9
Lalman (CT),Urban,Total,838,21,97,1,17,564,1,0,1,1,1541
Lalman (CT),Urban,Cooking inside house:,835,21,96,1,17,564,1,0,1,0,1536
Lalman (CT),Urban,Has Kitchen,663,15,73,0,12,471,1,0,0,0,1235
Lalman (CT),Urban,Does not have kitchen,172,6,23,1,5,93,0,0,1,0,301
Lalman (CT),Urban,Cooking outside house:,3,0,1,0,0,0,0,0,0,0,4
Lalman (CT),Urban,Has Kitchen,1,0,1,0,0,0,0,0,0,0,2
Lalman (CT),Urban,Does not have kitchen,2,0,0,0,0,0,0,0,0,0,2
Lalman (CT),Urban,No Cooking,0,0,0,0,0,0,0,0,0,1,1
Dakshin Bagdogra (CT),Urban,Total,235,11,2,0,2,212,0,0,0,1,463
Dakshin Bagdogra (CT),Urban,Cooking inside house:,178,11,2,0,2,201,0,0,0,0,394
Dakshin Bagdogra (CT),Urban,Has Kitchen,170,11,0,0,2,194,0,0,0,0,377
Dakshin Bagdogra (CT),Urban,Does not have kitchen,8,0,2,0,0,7,0,0,0,0,17
Dakshin Bagdogra (CT),Urban,Cooking outside house:,57,0,0,0,0,11,0,0,0,0,68
Dakshin Bagdogra (CT),Urban,Has Kitchen,45,0,0,0,0,9,0,0,0,0,54
Dakshin Bagdogra (CT),Urban,Does not have kitchen,12,0,0,0,0,2,0,0,0,0,14
Dakshin Bagdogra (CT),Urban,No Cooking,0,0,0,0,0,0,0,0,0,1,1
Sub-District - Phansidewa,Total,Total,27224,7294,2419,25,188,2307,19,33,2279,78,41866
Sub-District - Phansidewa,Total,Cooking inside house:,23163,6103,1991,22,178,2187,14,27,1909,0,35594
Sub-District - Phansidewa,Total,Has Kitchen,20547,5345,1719,17,130,2086,11,26,1726,0,31607
Sub-District - Phansidewa,Total,Does not have kitchen,2616,758,272,5,48,101,3,1,183,0,3987
Sub-District - Phansidewa,Total,Cooking outside house:,4061,1191,428,3,10,120,5,6,370,0,6194
Sub-District - Phansidewa,Total,Has Kitchen,3391,845,365,1,3,81,3,4,297,0,4990
Sub-District - Phansidewa,Total,Does not have kitchen,670,346,63,2,7,39,2,2,73,0,1204
Sub-District - Phansidewa,Total,No Cooking,0,0,0,0,0,0,0,0,0,78,78
Sub-District - Phansidewa,Rural,Total,27224,7294,2419,25,188,2307,19,33,2279,78,41866
Sub-District - Phansidewa,Rural,Cooking inside house:,23163,6103,1991,22,178,2187,14,27,1909,0,35594
Sub-District - Phansidewa,Rural,Has Kitchen,20547,5345,1719,17,130,2086,11,26,1726,0,31607
Sub-District - Phansidewa,Rural,Does not have kitchen,2616,758,272,5,48,101,3,1,183,0,3987
Sub-District - Phansidewa,Rural,Cooking outside house:,4061,1191,428,3,10,120,5,6,370,0,6194
Sub-District - Phansidewa,Rural,Has Kitchen,3391,845,365,1,3,81,3,4,297,0,4990
Sub-District - Phansidewa,Rural,Does not have kitchen,670,346,63,2,7,39,2,2,73,0,1204
Sub-District - Phansidewa,Rural,No Cooking,0,0,0,0,0,0,0,0,0,78,78
Sub-District - Phansidewa,Urban,Total,0,0,0,0,0,0,0,0,0,0,0
Sub-District - Phansidewa,Urban,Cooking inside house:,0,0,0,0,0,0,0,0,0,0,0
Sub-District - Phansidewa,Urban,Has Kitchen,0,0,0,0,0,0,0,0,0,0,0
Sub-District - Phansidewa,Urban,Does not have kitchen,0,0,0,0,0,0,0,0,0,0,0
Sub-District - Phansidewa,Urban,Cooking outside house:,0,0,0,0,0,0,0,0,0,0,0
Sub-District - Phansidewa,Urban,Has Kitchen,0,0,0,0,0,0,0,0,0,0,0
Sub-District - Phansidewa,Urban,Does not have kitchen,0,0,0,0,0,0,0,0,0,0,0
Sub-District - Phansidewa,Urban,No Cooking,0,0,0,0,0,0,0,0,0,0,0
Sub-District - Kharibari,Total,Total,14743,3785,2321,10,60,1483,3,32,465,57,22959
Sub-District - Kharibari,Total,Cooking inside house:,11316,3297,1772,7,53,1342,2,31,398,0,18218
Sub-District - Kharibari,Total,Has Kitchen,10138,2577,1292,4,30,1195,2,31,230,0,15499
Sub-District - Kharibari,Total,Does not have kitchen,1178,720,480,3,23,147,0,0,168,0,2719
Sub-District - Kharibari,Total,Cooking outside house:,3427,488,549,3,7,141,1,1,67,0,4684
Sub-District - Kharibari,Total,Has Kitchen,3060,382,462,1,3,125,1,1,58,0,4093
Sub-District - Kharibari,Total,Does not have kitchen,367,106,87,2,4,16,0,0,9,0,591
Sub-District - Kharibari,Total,No Cooking,0,0,0,0,0,0,0,0,0,57,57
Sub-District - Kharibari,Rural,Total,13162,3516,2170,9,42,952,3,9,465,51,20379
Sub-District - Kharibari,Rural,Cooking inside house:,10045,3043,1623,6,36,843,2,8,398,0,16004
Sub-District - Kharibari,Rural,Has Kitchen,9115,2417,1164,4,19,765,2,8,230,0,13724
Sub-District - Kharibari,Rural,Does not have kitchen,930,626,459,2,17,78,0,0,168,0,2280
Sub-District - Kharibari,Rural,Cooking outside house:,3117,473,547,3,6,109,1,1,67,0,4324
Sub-District - Kharibari,Rural,Has Kitchen,2826,372,461,1,2,98,1,1,58,0,3820
Sub-District - Kharibari,Rural,Does not have kitchen,291,101,86,2,4,11,0,0,9,0,504
Sub-District - Kharibari,Rural,No Cooking,0,0,0,0,0,0,0,0,0,51,51
Sub-District - Kharibari,Urban,Total,1581,269,151,1,18,531,0,23,0,6,2580
Sub-District - Kharibari,Urban,Cooking inside house:,1271,254,149,1,17,499,0,23,0,0,2214
Sub-District - Kharibari,Urban,Has Kitchen,1023,160,128,0,11,430,0,23,0,0,1775
Sub-District - Kharibari,Urban,Does not have kitchen,248,94,21,1,6,69,0,0,0,0,439
Sub-District - Kharibari,Urban,Cooking outside house:,310,15,2,0,1,32,0,0,0,0,360
Sub-District - Kharibari,Urban,Has Kitchen,234,10,1,0,1,27,0,0,0,0,273
Sub-District - Kharibari,Urban,Does not have kitchen,76,5,1,0,0,5,0,0,0,0,87
Sub-District - Kharibari,Urban,No Cooking,0,0,0,0,0,0,0,0,0,6,6
Shyamdhan (CT),Urban,Total,563,208,146,0,7,164,0,2,0,1,1091
Shyamdhan (CT),Urban,Cooking inside house:,506,196,145,0,6,156,0,2,0,0,1011
Shyamdhan (CT),Urban,Has Kitchen,481,144,127,0,4,141,0,2,0,0,899
Shyamdhan (CT),Urban,Does not have kitchen,25,52,18,0,2,15,0,0,0,0,112
Shyamdhan (CT),Urban,Cooking outside house:,57,12,1,0,1,8,0,0,0,0,79
Shyamdhan (CT),Urban,Has Kitchen,46,9,1,0,1,7,0,0,0,0,64
Shyamdhan (CT),Urban,Does not have kitchen,11,3,0,0,0,1,0,0,0,0,15
Shyamdhan (CT),Urban,No Cooking,0,0,0,0,0,0,0,0,0,1,1
Kharibari (CT),Urban,Total,1018,61,5,1,11,367,0,21,0,5,1489
Kharibari (CT),Urban,Cooking inside house:,765,58,4,1,11,343,0,21,0,0,1203
Kharibari (CT),Urban,Has Kitchen,542,16,1,0,7,289,0,21,0,0,876
Kharibari (CT),Urban,Does not have kitchen,223,42,3,1,4,54,0,0,0,0,327
Kharibari (CT),Urban,Cooking outside house:,253,3,1,0,0,24,0,0,0,0,281
Kharibari (CT),Urban,Has Kitchen,188,1,0,0,0,20,0,0,0,0,209
Kharibari (CT),Urban,Does not have kitchen,65,2,1,0,0,4,0,0,0,0,72
Kharibari (CT),Urban,No Cooking,0,0,0,0,0,0,0,0,0,5,5
Sub-District - Not under any sub-district,Total,Total,13882,678,177,2058,4508,80215,18,112,95,469,102212
Sub-District - Not under any sub-district,Total,Cooking inside house:,12310,617,166,1909,4381,78549,18,109,92,0,98151
Sub-District - Not under any sub-district,Total,Has Kitchen,5427,411,90,988,2275,71729,16,87,56,0,81079
Sub-District - Not under any sub-district,Total,Does not have kitchen,6883,206,76,921,2106,6820,2,22,36,0,17072
Sub-District - Not under any sub-district,Total,Cooking outside house:,1572,61,11,149,127,1666,0,3,3,0,3592
Sub-District - Not under any sub-district,Total,Has Kitchen,959,50,9,78,63,1454,0,3,3,0,2619
Sub-District - Not under any sub-district,Total,Does not have kitchen,613,11,2,71,64,212,0,0,0,0,973
Sub-District - Not under any sub-district,Total,No Cooking,0,0,0,0,0,0,0,0,0,469,469
Sub-District - Not under any sub-district,Rural,Total,0,0,0,0,0,0,0,0,0,0,0
Sub-District - Not under any sub-district,Rural,Cooking inside house:,0,0,0,0,0,0,0,0,0,0,0
Sub-District - Not under any sub-district,Rural,Has Kitchen,0,0,0,0,0,0,0,0,0,0,0
Sub-District - Not under any sub-district,Rural,Does not have kitchen,0,0,0,0,0,0,0,0,0,0,0
Sub-District - Not under any sub-district,Rural,Cooking outside house:,0,0,0,0,0,0,0,0,0,0,0
Sub-District - Not under any sub-district,Rural,Has Kitchen,0,0,0,0,0,0,0,0,0,0,0
Sub-District - Not under any sub-district,Rural,Does not have kitchen,0,0,0,0,0,0,0,0,0,0,0
Sub-District - Not under any sub-district,Rural,No Cooking,0,0,0,0,0,0,0,0,0,0,0
Sub-District - Not under any sub-district,Urban,Total,13882,678,177,2058,4508,80215,18,112,95,469,102212
Sub-District - Not under any sub-district,Urban,Cooking inside house:,12310,617,166,1909,4381,78549,18,109,92,0,98151
Sub-District - Not under any sub-district,Urban,Has Kitchen,5427,411,90,988,2275,71729,16,87,56,0,81079
Sub-District - Not under any sub-district,Urban,Does not have kitchen,6883,206,76,921,2106,6820,2,22,36,0,17072
Sub-District - Not under any sub-district,Urban,Cooking outside house:,1572,61,11,149,127,1666,0,3,3,0,3592
Sub-District - Not under any sub-district,Urban,Has Kitchen,959,50,9,78,63,1454,0,3,3,0,2619
Sub-District - Not under any sub-district,Urban,Does not have kitchen,613,11,2,71,64,212,0,0,0,0,973
