Area Name,Total/Rural/Urban,Availability of separate kitchen ,Fire-wood,Crop residue,Cowdung cake,"Coal,Lignite,Charcoal",Kerosene,LPG/PNG,Electricity,Biogas,Any other,No cooking,Total
Barijpur (CT),Urban,Cooking outside house:,163,73,2,0,0,0,0,0,0,0,238
Barijpur (CT),Urban,Has Kitchen,153,28,2,0,0,0,0,0,0,0,183
Barijpur (CT),Urban,Does not have kitchen,10,45,0,0,0,0,0,0,0,0,55
Barijpur (CT),Urban,No Cooking,0,0,0,0,0,0,0,0,0,0,0
Uttar Kusum (CT),Urban,Total,710,1225,67,2,1,4,0,0,0,4,2013
Uttar Kusum (CT),Urban,Cooking inside house:,581,1033,12,2,1,4,0,0,0,0,1633
Uttar Kusum (CT),Urban,Has Kitchen,302,192,2,0,0,4,0,0,0,0,500
Uttar Kusum (CT),Urban,Does not have kitchen,279,841,10,2,1,0,0,0,0,0,1133
Uttar Kusum (CT),Urban,Cooking outside house:,129,192,55,0,0,0,0,0,0,0,376
Uttar Kusum (CT),Urban,Has Kitchen,53,30,10,0,0,0,0,0,0,0,93
Uttar Kusum (CT),Urban,Does not have kitchen,76,162,45,0,0,0,0,0,0,0,283
Uttar Kusum (CT),Urban,No Cooking,0,0,0,0,0,0,0,0,0,4,4
Kalikapota (CT),Urban,Total,994,1362,13,7,1,14,0,1,0,2,2394
Kalikapota (CT),Urban,Cooking inside house:,979,1228,11,7,1,14,0,1,0,0,2241
Kalikapota (CT),Urban,Has Kitchen,487,456,0,5,1,13,0,1,0,0,963
Kalikapota (CT),Urban,Does not have kitchen,492,772,11,2,0,1,0,0,0,0,1278
Kalikapota (CT),Urban,Cooking outside house:,15,134,2,0,0,0,0,0,0,0,151
Kalikapota (CT),Urban,Has Kitchen,14,93,1,0,0,0,0,0,0,0,108
Kalikapota (CT),Urban,Does not have kitchen,1,41,1,0,0,0,0,0,0,0,43
Kalikapota (CT),Urban,No Cooking,0,0,0,0,0,0,0,0,0,2,2
Bamna (CT),Urban,Total,331,468,48,0,1,3,0,0,0,1,852
Bamna (CT),Urban,Cooking inside house:,325,461,47,0,1,3,0,0,0,0,837
Bamna (CT),Urban,Has Kitchen,201,193,38,0,1,2,0,0,0,0,435
Bamna (CT),Urban,Does not have kitchen,124,268,9,0,0,1,0,0,0,0,402
Bamna (CT),Urban,Cooking outside house:,6,7,1,0,0,0,0,0,0,0,14
Bamna (CT),Urban,Has Kitchen,5,2,1,0,0,0,0,0,0,0,8
Bamna (CT),Urban,Does not have kitchen,1,5,0,0,0,0,0,0,0,0,6
Bamna (CT),Urban,No Cooking,0,0,0,0,0,0,0,0,0,1,1
Sub-District - Falta,Total,Total,20611,29457,1313,245,219,3709,10,133,1380,169,57246
Sub-District - Falta,Total,Cooking inside house:,17776,21947,1073,174,198,3519,9,130,1175,0,46001
Sub-District - Falta,Total,Has Kitchen,13401,11613,634,83,83,3043,6,120,633,0,29616
Sub-District - Falta,Total,Does not have kitchen,4375,10334,439,91,115,476,3,10,542,0,16385
Sub-District - Falta,Total,Cooking outside house:,2835,7510,240,71,21,190,1,3,205,0,11076
Sub-District - Falta,Total,Has Kitchen,1694,3290,124,29,9,138,0,3,89,0,5376
